# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   0.8134740492     0.0000000102     0.0000000102
a_p1                   4.8256345414     0.0374177864     0.0355410358
t0_p1                  2456047.0517049464     0.0000192919     0.0000206572
b_p1                   0.6820172973     0.0050789007     0.0051467812
sesinomega_p1          -0.0489879292     0.0648742815     0.0498547746
secosomega_p1          0.0417517803     0.0344042071     0.0422982973
ecc_p1                 0.0069196898     0.0058194365     0.0046617706
omega_p1               39.9958921179     60.9763153379     29.4901908096
q1_TESS                0.2955698468     0.0784969885     0.0559966408
q2_TESS                0.6282051344     0.1971901009     0.2043941156
p_p1_TESS              0.1609861714     0.0010124198     0.0012016509
rho                    3212.3888948434     75.3071952723     70.4567003419
K_p1                   551.5439178950     4.6615357103     4.6346736541
mu_HARPSN-9            109.2982875930     3.5694856850     3.7982964067
sigma_w_HARPSN-9       12.5312731711     3.0015220975     2.5871829108
mu_CORALIE-19          -46.7090591855     5.0733591949     5.0609837788
sigma_w_CORALIE-19     0.1526493211     2.7814967402     0.1472395312
mflux_EulerCAM-ref29     -0.0037614070     0.0018060549     0.0018205794
sigma_w_EulerCAM-ref29     882.0502061833     88.2849486714     85.8440516731
q1_EulerCAM-ref29      0.4557866285     0.1293005070     0.1018824042
q2_EulerCAM-ref29      0.4496177871     0.2605712461     0.2299176131
p_p1_EulerCAM-ref29     0.1619211019     0.0025266934     0.0024536222
GP_sigma_EulerCAM-ref29     0.0035687259     0.0016252792     0.0009043383
GP_rho_EulerCAM-ref29     0.0889691154     0.0512699029     0.0341684710
mflux_TRAPPIST-ref29     0.0001739262     0.0001956453     0.0001895908
sigma_w_TRAPPIST-ref29     608.0569063181     86.5920397261     95.0252854104
q1_TRAPPIST-ref29      0.2754558895     0.0796510881     0.0653901611
q2_TRAPPIST-ref29      0.2752716914     0.2411354501     0.1857546315
p_p1_TRAPPIST-ref29     0.1598215347     0.0014557950     0.0013944756
GP_sigma_TRAPPIST-ref29     0.0014842111     0.0001075944     0.0001010312
GP_rho_TRAPPIST-ref29     0.0128202419     0.0018024341     0.0014941865
