55852.60464   4.3376 0.0283 -0.0260
55888.52841   4.3201 0.0166  0.0427
55889.52682   4.3876 0.0177  0.0086
55890.53714   4.3857 0.0159  0.0282
55891.53405   4.3417 0.0193  0.0148
55893.53766   4.4078 0.0172  0.0825
56075.81618   4.3134 0.0166  0.0788
56076.84883   4.3289 0.0255  0.0137
56103.83463   4.3047 0.0117 -0.0160
56136.78376   4.4067 0.0215  0.0681
56149.73856   4.3205 0.0173 -0.0030
56150.68690   4.2653 0.0292  0.0356
56151.62369   4.4136 0.0196  0.0092
56175.58669   4.4376 0.0194  0.0159
