Title: Investigating the physical properties of transiting hot Jupiters with the 1.5-m Kuiper Telescope
Authors: Jake D. Turner, et al. 2017
Table: Table 8. Results of the transit timing analysis
================================================================================
Byte-by-byte Description of file: datafile.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 10 A10    	        Planet Name 	
  12- 26 F15.6  BJD_TDB 	Mid-Transit Time
  28- 36 F9.6   BJD_TDB		Mid-Transit Error
  38- 43 I6     		Epoch		
  45- 58 F14.10 days		O-C
  60- 72 F13.10 days		O-C Error
  74- 97 A24    		Source
--------------------------------------------------------------------------------
Note (1):   We combined our mid-transit times with previously published mid-transit times 
Note (2):   All midtransit times were transformed into BJD time (TDB)
--------------------------------------------------------------------------------
CoRoT-12b	  2454398.627850  0.055000      0  -0.0000011530  0.0777817460 	Gillon et al. 2010      
CoRoT-12b	  2456338.670970  0.000740    686   0.0000000000  0.0550450540 	Our Paper               
HAT-P-5b	   2454241.777370  0.000220      0   0.0002112650  0.0002651550 	Bakos et al. 2007       
HAT-P-5b	   2454241.777000  0.000220      0  -0.0001607350  0.0002651550 	Southworth et al. 2012  
HAT-P-5b	   2454969.568170  0.001100    261  -0.0003909460  0.0011099310 	Southworth et al. 2012  
HAT-P-5b	   2454969.568370  0.001800    261  -0.0001909460  0.0018060860 	Southworth et al. 2012  
HAT-P-5b	   2454969.569470  0.000900    261   0.0009090540  0.0009121110 	Southworth et al. 2012  
HAT-P-5b	   2455005.818570  0.000800    274  -0.0001373170  0.0008136020 	Southworth et al. 2012  
HAT-P-5b	   2455036.491570  0.001500    285  -0.0003380920  0.0015072990 	Southworth et al. 2012  
HAT-P-5b	   2455050.433710  0.001180    290  -0.0005620810  0.0011892650 	Southworth et al. 2012  
HAT-P-5b	   2455050.434530  0.001550    290   0.0002579190  0.0015570650 	Southworth et al. 2012  
HAT-P-5b	   2455334.858730  0.001710    392   0.0002325490  0.0017164110 	Southworth et al. 2012  
HAT-P-5b	   2455379.475820  0.000600    408   0.0017577850  0.0006180350 	Southworth et al. 2012  
HAT-P-5b	   2455387.839850  0.001220    411   0.0003693920  0.0012289700 	Southworth et al. 2012  
HAT-P-5b	   2455432.455340  0.000660    427   0.0002946280  0.0006764400 	Southworth et al. 2012  
HAT-P-5b	   2455432.454360  0.000330    427  -0.0006853720  0.0003617600 	Southworth et al. 2012  
HAT-P-5b	   2455432.454600  0.000270    427  -0.0004453720  0.0003080110 	Southworth et al. 2012  
HAT-P-5b	   2455432.454370  0.000250    427  -0.0006753720  0.0002906380 	Southworth et al. 2012  
HAT-P-5b	   2455708.514600  0.000220    526   0.0007476510  0.0002653020 	Southworth et al. 2012  
HAT-P-5b	   2455482.649130  0.000810    445   0.0015742680  0.0008234520 	Southworth et al. 2012  
HAT-P-5b	   2455716.879950  0.000860    529   0.0006792580  0.0008726890 	Southworth et al. 2012  
HAT-P-5b	   2455736.398240  0.000910    536  -0.0003403270  0.0009220020 	Southworth et al. 2012  
HAT-P-5b	   2455744.763500  0.000920    539  -0.0004987200  0.0009318730 	Southworth et al. 2012  
HAT-P-5b	   2457180.826580  0.000760   1054  -0.0009045600  0.0007743800 	Our Paper               
HAT-P-12b	  2454187.856550  0.000200      0   0.0006968300  0.0002125000 	Lee et al. 2012         
HAT-P-12b	  2454216.772650  0.000140      9  -0.0007270160  0.0001573410 	Lee et al. 2012         
HAT-P-12b	  2454869.023970  0.000170    212  -0.0002226630  0.0001845520 	Lee et al. 2012         
HAT-P-12b	  2454897.942250  0.000240    221   0.0005334900  0.0002505190 	Lee et al. 2012         
HAT-P-12b	  2454952.563980  0.000800    238   0.0002740030  0.0008032190 	Lee et al. 2012         
