Title: Investigating the physical properties of transiting hot Jupiters with the 1.5-m Kuiper Telescope
Authors: Jake D. Turner, et al. 
Table: Table 9. Rp/Rstar and effective central wavelength 
================================================================================
Byte-by-byte Description of file: datafile.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 10 A10           Planet
  12- 29 A18           Filter
  31- 47 A17    nm     Wavelength
  49- 59 A11           Rp/Rstar
  61- 69 A9            Rp/Rstar Error
  71- 94 A24           Source
--------------------------------------------------------------------------------
Note (1):   Table of Rp/Rstar vs wavelength.  
Note (2):   These values are plotted in Figure 6 & 7 of the paper.
--------------------------------------------------------------------------------
CoRoT-12b	 	Harris R	         	658	             	0.1645	    	0.004	   	Our Paper               
CoRoT-12b	 	Clear 	           	400-900	         	0.1321	    	0.0011	  	Gillon et al. 2010      
HAT-P-5b	  	 Bessell U 	      	365	             	0.1225	    	0.0051	  	Our Paper               
HAT-P-5b	  	 Gunn g 	         	495	             	0.113	     	0.0025	  	Southworth et al. 2012  
HAT-P-5b	  	 Gunn r 	         	658	             	0.1159	    	0.0026	  	Southworth et al. 2012  
HAT-P-5b	  	 Gunn r 	         	658	             	0.1165	    	0.0022	  	Southworth et al. 2012  
HAT-P-5b	  	 Johnson I 	      	733	             	0.1134	    	0.0017	  	Southworth et al. 2012  
HAT-P-5b	  	 Stomgren u 	     	350	             	0.1279	    	0.0024	  	Southworth et al. 2012  
HAT-P-5b	  	Sloan z 	         	905	             	0.1094	    	0.002	   	Bakos et al. 2007       
HAT-P-5b	  	Cousins r 	       	647	             	0.1111	    	0.0025	  	Bakos et al. 2007       
HAT-P-12b	 	Harris-B	         	445	             	0.1386	    	0.0014	  	Our Paper               
HAT-P-12b	 	J	                	1220	            	0.1404	    	0.0026	  	Sada et al. 2012        
HAT-P-12b	 	Cousins-R	        	647	             	0.137	     	0.0019	  	Lee et al. 2012         
HAT-P-12b	 	Sloan g	          	475	             	0.1394	    	0.0015	  	Hartman et al. 2009     
HAT-P-12b	 	Sloan z	          	905	             	0.1403	    	0.0011	  	Hartman et al. 2009     
HAT-P-12b	 	Sloan u	          	358	             	0.13728	   	0.00244	 	Mallonn et al. 2015     
HAT-P-12b	 	Sloan g	          	475	             	0.13633	   	0.00074	 	Mallonn et al. 2015     
HAT-P-12b	 	Johnson V	        	547	             	0.13857	   	0.00131	 	Mallonn et al. 2015     
HAT-P-12b	 	Sloan r	          	620	             	0.13741	   	0.00071	 	Mallonn et al. 2015     
HAT-P-12b	 	Harris R	         	620	             	0.13793	   	0.00098	 	Mallonn et al. 2015     
HAT-P-12b	 	Sloan i	          	669	             	0.13703	   	0.00103	 	Mallonn et al. 2015     
HAT-P-12b	 	Sloan z	          	966	             	0.14035	   	0.00087	 	Mallonn et al. 2015     
HAT-P-12b	 	WFC3	             	380	             	0.14425	   	0.0017	  	Sing et al. 2016        
HAT-P-12b	 	WFC3	             	425	             	0.14101	   	0.00091	 	Sing et al. 2016        
HAT-P-12b	 	WFC3	             	455	             	0.14236	   	0.00061	 	Sing et al. 2016        
HAT-P-12b	 	WFC3	             	482.5	           	0.14159	   	0.00083	 	Sing et al. 2016        
