# From https://iopscience.iop.org/article/10.1088/0004-637X/749/2/134
#Table 1 
#Relative Radial Velocities, Bisector Spans, and Activity Index Measurements of HAT-P-17
#
#
#BJD	RV^a	sigma_RV^b	BS	sigma_BS	S^c	sigma_S	
#(2,454,000+)	(m s^-1)	(m s^-1)	(m s^-1)	(m s^-1)			
396.82931	18.12	1.57	10.31	4.38	0.0048	0.00002	
397.79661	-9.05	1.67	2.84	5.15	0.0048	0.00002	
427.78145	13.53	1.42	2.49	5.17	0.0047	0.00003	
#427.78895	 ... 	 ... 	-2.14	5.34	0.0047	0.00002	
429.81978	-46.01	1.58	-3.08	5.46	0.0047	0.00003	
430.84830	-74.24	1.78	-1.88	5.52	0.0046	0.00003	
454.71418	32.95	2.55	-12.71	6.37	0.0048	0.00004	
455.70568	38.55	1.74	0.09	5.13	0.0047	0.00002	
456.69684	37.13	1.84	4.61	4.86	0.0048	0.00003	
457.69351	25.00	1.70	-3.52	5.47	0.0048	0.00002	
603.04188	6.48	1.66	3.60	4.80	0.0047	0.00002	
604.01999	-10.27	1.67	-2.39	5.19	0.0048	0.00002	
638.00747	-80.28	1.63	6.54	4.54	0.0049	0.00002	
640.09696	13.57	1.68	2.73	5.17	0.0048	0.00002	
641.03845	21.59	2.09	9.89	4.28	0.0049	0.00002	
674.90104	7.95	1.96	-15.07	6.42	0.0049	0.00002	
722.81909	5.29	1.75	9.33	4.88	0.0048	0.00002	
726.78740	6.67	1.54	-8.43	5.62	0.0047	0.00001	
727.86651	-14.01	1.91	-5.89	5.34	0.0044	0.00002	
777.87074	11.41	1.63	8.04	4.51	0.0048	0.00002	
778.81597	2.54	1.98	3.34	4.82	0.0049	0.00003	
805.73023	3.33	1.53	9.31	4.65	0.0045	0.00002	
808.77451	6.58	1.43	-3.86	5.37	0.0047	0.00002	
955.07012	-8.12	1.43	5.73	4.54	0.0048	0.00002	
956.08553	-35.16	1.47	1.12	5.07	0.0049	0.00002	
957.07704	-67.96	1.93	-6.36	5.74	0.0048	0.00002	
985.08988	0.22	1.74	1.03	5.04	0.0048	0.00002	
989.04979	-103.01	1.91	-0.24	5.13	0.0047	0.00002	
1043.02166	-0.66	1.87	9.50	4.57	0.0048	0.00002	
1106.96789	32.01	2.62	-1.47	5.67	0.0048	0.00003	
1192.72802	3.23	1.66	-6.09	5.60	0.0050	0.00004	
1198.70293	25.36	1.79	2.47	5.18	0.0046	0.00002	
1290.13821	-21.77	2.14	-21.11	7.04	0.0045	0.00002	
1319.05702	-56.74	2.35	5.54	4.57	0.0046	0.00003	
1319.12199	-57.60	2.43	-5.57	5.53	0.0048	0.00004	
1321.12276	-20.60	1.41	1.22	5.01	0.0047	0.00003	
#1351.97316	-26.28	1.52	 ... 	 ... 	 ... 	 ... 	
#1406.97949	52.54	1.64	 ... 	 ... 	 ... 	 ... 	
#1428.96436	50.48	2.17	 ... 	 ... 	 ... 	 ... 	
#1455.88205	12.13	1.63	 ... 	 ... 	 ... 	 ... 	
#1486.89693	13.83	1.69	 ... 	 ... 	 ... 	 ... 	
#1521.80847	56.18	1.75	 ... 	 ... 	 ... 	 ... 	
#1542.74643	56.31	1.34	 ... 	 ... 	 ... 	 ... 	
#Notes. Note that for the iodine-free template exposures we do not measure the RV but do measure the BS and S index. Such template exposures can be distinguished by the missing RV value.
#a The zero point of these velocities is arbitrary. An overall offset gamma_rel fitted to these velocities in Section 3.3 has not been subtracted.
#b Internal errors excluding the component of astrophysical jitter considered in Section 3.3.
#c Relative chromospheric activity index, not calibrated to the scale of Vaughan et al. (1978).
