# From https://iopscience.iop.org/article/10.1088/2041-8205/722/2/L224
#
# Table 1 
#WASP-17 Radial Velocities (Order Averaged)
#
#
#Time	Radial	Radial Velocity	
#HJD	Velocity (m s^-1)	Uncertainty (m s^-1)	
2455328.57331	-9.88   	38.75	
2455328.58273	-4.73   	32.47	
2455328.59219	9.70   	27.08	
2455328.60194	26.88   	27.51	
2455328.61135	-49.67   	37.43	
2455328.62035	-87.48   	24.96	
2455328.62971	-68.18   	20.08	
2455328.63921	-110.63   	40.87	
2455328.64876	-141.71   	30.59	
2455328.65817	-124.57   	35.23	
2455328.66761	-92.68   	27.30	
2455328.67700	-135.62   	27.72	
2455328.68633	-42.40   	34.15	
2455328.69570	-13.34   	24.05	
2455328.70557	50.30   	23.05	
2455328.71481	37.16   	15.00	
2455328.74077	164.59   	17.62	
2455328.75012	86.38   	23.37	
2455328.75939	86.77   	38.93	
2455328.76863	31.27   	30.88	
2455328.77785	6.61   	39.38	
2455328.78711	-32.55   	18.04	
2455328.79641   	-30.80   	24.08	
2455328.80593	-15.31   	24.74	
2455328.81546	-23.01   	32.34	
2455328.82536	-25.39   	32.21	
2455328.83495	-18.66   	20.94	
2455328.84430	6.76   	26.41	
2455328.85358	50.02   	32.97	
2455328.86289	-15.15   	25.22	
2455328.87214	-45.57   	30.49	
2455328.88145	13.95   	15.26	
2455328.89069	-44.50   	24.20	
