# From https://iopscience.iop.org/article/10.1088/0004-6256/150/1/18#aj514952t7
#BJD - 2400 000	RV	${\sigma }_{\mathrm{RV}}$	Bisector	
#(UTC)	(km s^-1)	(km s^-1)	(km s^-1)	
#WASP-74:				
55795.60542	-15.8781	0.0045	-0.0067	
55796.64971	-15.6394	0.0047	-0.0094	
55802.72044	-15.6772	0.0056	0.0026	
55820.55636	-15.7453	0.0042	0.0028	
55823.52316	-15.8463	0.0060	0.0014	
55824.54772	-15.6601	0.0045	-0.0213	
55826.57775	-15.6553	0.0049	-0.0019	
55827.50202	-15.8600	0.0054	-0.0132	
55828.57525	-15.6596	0.0051	-0.0147	
55829.63956	-15.8690	0.0044	0.0028	
55830.50481	-15.6975	0.0050	-0.0227	
55832.53917	-15.7364	0.0042	0.0048	
55834.53461	-15.7850	0.0042	-0.0112	
55835.53651	-15.7357	0.0050	-0.0019	
55851.58947	-15.7856	0.0048	0.0015	
56049.91441	-15.9043	0.0041	-0.0147	
56103.75557	-15.8386	0.0039	-0.0158	
56150.65595	-15.8523	0.0051	-0.0261	
56152.55759	-15.8601	0.0052	-0.0277	
56212.54690	-15.8647	0.0042	0.0007	
