# From https://iopscience.iop.org/article/10.1088/0004-637X/814/1/12
# Only have a sample of their data available from the article
#
#Table 2 
#Radial Velocity Observations (Sample)
#
#	Time (JD)	RV (ms^-1)	Uncertainty (m s^-1)	Data Set	
1	2450395.74	-4.50	0.50	KECK	
2	2453239.05	-2.14	0.74	KECK	
3	2453301.77	-13.31	1.37	KECK	
4	2453338.71	-5.86	0.53	KECK	
5	2453547.10	1.56	0.45	KECK	
6	2453548.09	1.39	0.48	KECK	
7	2453549.12	-0.66	0.55	KECK	
8	2453550.09	2.79	0.43	KECK	
9	2453551.09	0.81	0.38	KECK	
10	2453552.05	-1.88	0.44	KECK	
11	2453571.06	0.00	0.48	KECK	
12	2453692.77	6.20	0.71	KECK	
13	2453693.70	1.81	0.60	KECK	
14	2453693.92	1.54	0.57	KECK	
15	2453694.70	1.48	0.58	KECK	
16	2453694.85	1.99	0.61	KECK	
17	2453695.85	7.63	0.59	KECK	
18	2453696.71	6.48	0.55	KECK	
