# From https://iopscience.iop.org/article/10.3847/1538-3881/ac082a#ajac082as4
# Note that HD 189733b is what they call HIP 098505
#Table A2 
#CHIRON Radial Velocities of Known and New Planet Candidates
#
#
#BJD - 2,450,000	RV	sigma _RV	
#(days)	(ms^-1)	(ms^-1)	
#
#HIP 098505			
#			
7929.73335	-129.5	32.4	
7933.78957	-180.9	5.2	
7934.76108	119.0	6.5	
7935.76221	-51.3	4.9	
7936.76874	9.5	5.7	
7937.75467	84.0	5.4	
7941.76233	187.0	5.9	
7942.74095	-194.3	6.6	
7943.77564	185.7	5.0	
7944.73933	-109.1	4.4	
7945.73698	73.3	6.5	
7946.72916	27.8	3.9	
7947.69775	-13.5	20.6	
7948.72484	145.3	6.2	
7949.71869	-123.7	10.7	
7951.71345	-189.0	7.5	
7952.71563	188.3	4.7	
7953.73393	-164.7	5.0	
7954.70688	94.6	5.8	
7955.70707	-59.6	4.7	
7958.70140	-131.2	3.3	
7959.69553	168.6	4.3	
7960.71401	-185.4	3.8	
#7960.72722^sstarf	-205.4	5.3	
7960.73934	-190.8	3.3	
7961.69405	208.8	5.7	
7964.67201	-113.0	2.9	
7966.69832	43.9	6.5	
7967.67659	-99.1	4.3	
7969.64983	-196.7	5.9	
7970.65065	180.9	4.5	
# Note. (^sstarf) marks the reference epoch.
