# From https://iopscience.iop.org/article/10.1086/425173/fulltext/
#JD - 2440000	Radial Velocity
#(m s-1)	Uncertainty
#(m s-1)
11552.077	0.66	4.8
11583.948	-8.83	3.9
11706.865	-18.91	5.3
11983.015	-7.59	5.5
12064.871	15.90	5.2
12308.084	15.87	4.8
12333.038	-23.82	6.3
12334.054	11.69	5.0
12334.935	-6.25	4.7
12363.039	2.53	6.2
12681.057	12.90	5.5
12711.898	-1.56	4.8
12712.902	-0.07	4.9
12804.878	17.96	4.9
12805.829	-9.33	4.6
12828.800	19.64	5.0
12832.758	-24.20	4.6
12833.763	6.93	5.0
12834.779	-2.30	6.1
12848.752	-29.74	5.3
12849.762	12.63	4.0
12850.763	-9.72	4.0
12988.146	-0.99	2.5
12989.146	-7.45	3.3
13015.142	-13.08	3.3
13016.072	10.08	3.3
13017.046	1.68	3.4
13018.142	-8.34	3.8
13044.113	-13.10	3.0
13045.018	2.62	3.1
13045.984	9.47	2.9
13069.032	19.63	3.0
13073.992	0.12	3.7
13077.066	13.02	4.4
13153.817	17.44	4.1
13179.759	-14.38	4.8
13180.803	6.02	4.4
13181.746	-21.72	4.3
13189.787	-15.07	3.4
13190.754	19.48	3.4
13195.767	-1.53	3.3
13196.772	4.50	4.2
