# From https://iopscience.iop.org/article/10.1088/0004-6256/150/1/12#aj514699
#Table 1 
#RV Observations of KELT-7
#Time	Relative RV	Relative RV Error	Bisector	Bisector Error	Phase	SNRe^a	
#BJD_TDB	(m s^-1)	(m s^-1)	(m s^-1)	(m s^-1)			
2455957.836103	102	143	-114	209	-0.3053	68.8	
2455961.748540	-472	134	-37	143	1.1253	87.4	
2455963.607625	-65	144	-35	102	1.8050	122.7	
2455964.647614	-387	174	170	137	2.1853	82.2	
2455967.702756	-129	73	16	116	3.3024	101.0	
2455968.667152	-25	86	-52	61	3.6551	191.2	
2455970.667266	-135	136	-79	69	4.3864	106.3	
2455971.657526	67	95	-199	77	4.7485	161.3	
2455982.637552	-13	83	127	53	8.7633	153.3	
2455983.610040	-150	97	55	107	9.1189	174.2	
2455984.641133	-197	90	86	76	9.4959	180.2	
2455985.610681	94	104	-55	107	9.8504	122.0	
2455986.621278	-267	123	-164	156	10.2200	92.1	
2456019.663088	-273	115	108	92	22.3017	73.5	
2456020.642102	-139	107	-100	88	22.6597	125.5	
2456027.643080	-52	89	-262	119	25.2196	141.2	
2456310.790708	55	117	144	60	128.7524	296.9	
2456340.790829	0	48	97	44	139.7219	297.5	
2456584.819001	-45	88	102	131	228.9507	131.4	
2456584.826693	81	64	26	71	228.9535	127.1	
2456584.835357	62	100	-42	85	228.9567	146.6	
2456584.843054	-1	93	75	70	228.9595	148.1	
2456584.852250	65	85	8	95	228.9629	144.0	
2456584.859959	-62	63	41	87	228.9657	144.5	
2456584.867813	13	48	14	78	228.9686	145.7	
2456584.875811	7	68	8	104	228.9715	143.5	
2456584.884423	96	108	-39	74	228.9746	154.8	
2456584.892300	230	96	-130	57	228.9775	154.3	
2456584.899864	181	71	-179	70	228.9803	155.7	
2456584.907399	265	110	33	112	228.9830	161.2	
2456584.915097	86	82	89	61	228.9858	155.4	
2456584.923361	146	98	138	62	228.9889	154.1	
2456584.930798	93	81	56	43	228.9916	153.1	
2456584.938490	-78	65	98	91	228.9944	162.9	
2456584.946413	1	76	-9	55	228.9973	162.7	
2456584.956825	-87	103	-80	84	229.0011	161.8	
2456584.964968	-172	82	-77	78	229.0041	166.5	
2456584.972520	-205	109	-70	74	229.0068	165.2	
2456584.980362	-255	89	-143	82	229.0097	158.9	
2456584.987938	-382	80	-23	56	229.0125	164.0	
2456584.996897	-610	118	132	72	229.0158	162.3	
2456585.004641	-437	81	240	53	229.0186	165.4	
2456585.012118	-223	70	336	79	229.0213	162.9	
2456585.019665	-86	80	207	70	229.0241	159.9	
2456585.027143	-37	123	243	65	229.0268	156.1	
2456585.034609	-226	78	145	70	229.0295	156.2	
2456638.901881	26	98	-169	112	248.7261	198.1	
2456639.777025	-123	68	-67	73	249.0461	242.0	
2456640.913299	-115	80	90	53	249.4616	262.4	
2456641.702340	-166	78	6	67	249.7501	169.0	
2456642.742449	-347	66	39	92	250.1304	258.3	
2456693.611029	72	73	-200	72	268.7305	203.3	
2456694.641506	-208	89	-67	68	269.1073	186.2	
2456696.631120	11	73	-149	70	269.8348	229.6	
2456700.710497	-519	134	-2	75	271.3264	146.0	
2456701.756533	-38	67	-206	70	271.7089	238.9	
2456702.691941	-207	53	-53	50	272.0509	278.9	
2456703.670164	-194	59	-35	42	272.4086	263.7	
2456704.671919	-94	77	61	50	272.7749	219.1	
2456705.773764	-316	76	-78	75	273.1778	220.1	
2456706.652092	-32	68	-41	60	273.4989	254.3	
2456707.664631	9	63	-63	37	273.8692	238.4	
2456708.711942	-381	84	80	42	274.2521	206.1	
2456709.746023	-21	65	-27	59	274.6302	260.8	
#Note.
#^a Signal to noise per resolution element (SNRe) which takes into account the resolution of the instrument. SNRe is calculated near the peak of the echelle order that includes the Mg b lines.
