# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   1.0914185974     0.0000000215     0.0000000216
a_p1                   2.9302914059     0.0058693473     0.0048965187
t0_p1                  2456594.6821434819     0.0000141505     0.0000139442
b_p1                   0.4161485947     0.0058489511     0.0028829170
p_p1                   0.1185934641     0.0000977071     0.0001013953
q1_TESS                0.1497800861     0.0087537248     0.0028435299
q2_TESS                0.5035386906     0.0189576576     0.0346301640
ecc_p1                 0.0187880162     0.0017337717     0.0031694135
rho                    399.5783699315     2.4058717544     1.9997345144
K_p1                   209.2722118232     1.4707486236     0.7466839860
mu_HIRES-12            10.8262341118     0.7183258196     1.1598503821
sigma_w_HIRES-12       15.0080773547     0.7552585902     1.3833877881
mu_SOPHIE-14           63.7173477580     1.0754390456     1.2400493319
sigma_w_SOPHIE-14      10.8058666719     1.6906917947     2.6081680979
mflux_FLWO-12          0.0003953147     0.0000089353     0.0000084604
sigma_w_FLWO-12        1198.2112045190     27.0274493200     16.6985774318
q1_FLWO-12             0.3155469623     0.0123141961     0.0116219359
q2_FLWO-12             0.3920360369     0.0357241478     0.0184774908
GP_sigma_FLWO-12       0.0230712109     0.0407616676     0.0127691967
GP_rho_FLWO-12         0.6095111406     0.1797998220     0.1623340604
mflux_BOAO-13          0.0001663282     0.0000142186     0.0000246713
sigma_w_BOAO-13        620.3879095264     19.5532747366     33.7446199611
q1_BOAO-13             0.2139248060     0.0116860524     0.0125816046
q2_BOAO-13             0.2943863791     0.0115547056     0.0249120825
GP_sigma_BOAO-13       0.2937583604     1.0579097085     0.1544276800
GP_rho_BOAO-13         0.9195483532     0.4802465350     0.2468800612
mflux_CA-13            -0.0002104232     0.0000333720     0.0000281806
sigma_w_CA-13          355.6480108295     30.3343080028     19.5175283438
q1_CA-13               0.2758321138     0.0094732360     0.0072624173
q2_CA-13               0.3723915602     0.0137891330     0.0169003448
GP_sigma_CA-13         471.7701857361     512.1093774503     232.3111532730
GP_rho_CA-13           3.5880118299     2.7545899726     0.8191766629
mflux_NOT-13           0.0002466404     0.0000214618     0.0000275576
sigma_w_NOT-13         1221.9089378138     10.6557462167     5.9809472896
q1_NOT-13              0.3316094394     0.0392623894     0.0404713745
q2_NOT-13              0.4251586295     0.0818925481     0.0906684820
GP_sigma_NOT-13        11.6904731055     25.8894138353     5.9503580140
GP_rho_NOT-13          11.7128796234     7.3331538935     6.5629151629
mflux_OSN-13           -0.0001132779     0.0000115078     0.0000121921
sigma_w_OSN-13         686.4060698900     10.1328071986     6.7613678659
q1_OSN-13              0.2822201386     0.0029397172     0.0074368632
q2_OSN-13              0.2243185230     0.0222869351     0.0084244291
GP_sigma_OSN-13        2.9324007936     8.6767770160     1.8144882481
GP_rho_OSN-13          1.1615550001     0.6795222438     0.3029372409
mflux_PIW-13           0.0000195542     0.0000325040     0.0000114067
sigma_w_PIW-13         1262.5283889360     31.9357372193     16.4401819812
q1_PIW-13              0.2557452034     0.0056697207     0.0131302369
q2_PIW-13              0.3312429270     0.0175878349     0.0300580953
GP_sigma_PIW-13        0.0658236952     0.0976106693     0.0376163141
GP_rho_PIW-13          0.4408168307     0.1833969044     0.1310840929
mflux_ROZ-13           -0.0001745112     0.0000073589     0.0000095821
sigma_w_ROZ-13         594.6989328679     5.1395933498     8.6146306090
q1_ROZ-13              0.2426522409     0.0248236918     0.0081875058
q2_ROZ-13              0.3483268389     0.0098288168     0.0355994543
GP_sigma_ROZ-13        22.0765621824     91.6501240804     9.7564017871
GP_rho_ROZ-13          0.7540666210     1.1346126302     0.4480684944
mflux_TRE-13           -0.0000998400     0.0000226369     0.0000191088
sigma_w_TRE-13         841.0146643743     25.7530110524     12.0565948150
q1_TRE-13              0.2585117638     0.0081320483     0.0140395531
q2_TRE-13              0.4770978445     0.0222379691     0.0144892666
GP_sigma_TRE-13        0.0890845610     0.5113455432     0.0576067278
GP_rho_TRE-13          27.0633575697     23.6121545576     16.1168930531
