# from https://iopscience.iop.org/article/10.1088/0004-637X/693/2/1920
#
#Table 2 
#The RV Measurements of WASP-12 Obtained with SOPHIE Spectrograph
#BJD	Vr (km s^-1)	sigma_RV (km s^-1)	S/N	Bisector (km s^-1)	
2454509.38633	18.9231	0.0088	44.3	0.015	
2454509.53836	19.0845	0.0112	34.9	0.047	
2454510.40255	18.8497	0.0102	38.0	0.046	
2454511.29105	18.9394	0.0082	47.4	0.056	
2454511.36791	18.9008	0.0090	43.0	0.047	
2454511.40825	18.8582	0.0090	43.3	0.047	
2454511.53661	18.8945	0.0108	36.1	0.005	
2454512.28835	19.0648	0.0088	44.0	0.057	
2454512.30278	19.0429	0.0084	45.6	0.031	
2454512.31570	19.0298	0.0096	40.1	0.010	
2454512.32867	19.0064	0.0090	42.7	0.033	
2454512.34174	18.9973	0.0088	44.2	0.030	
2454512.35470	18.9778	0.0086	45.2	0.036	
2454512.40579	18.9176	0.0090	42.6	0.038	
2454512.43225	18.9124	0.0088	44.4	0.047	
2454512.44721	18.8936	0.0086	45.6	0.018	
2454513.32972	19.0957	0.0128	29.7	0.079	
2454514.30357	19.2105	0.0130	29.6	-0.001	
2454515.27220	19.3213	0.0106	36.1	-0.018	
2454516.40210	19.2961	0.0128	29.8	0.067	
2454519.43071	19.1968	0.0088	44.3	0.038	
