#https://iopscience.iop.org/article/10.1088/0004-637X/709/1/159
#
#Table 2 
#Radial Velocity Measurements of WASP-17


#BJD-2 450 000	RV	sigma_RV	BS^a	
#	(km s^-1)	(km s^-1)	(km s^-1)	
#CORALIE
4329.6037	-49.4570	0.0428	 0.0829	
4360.4863	-49.3661	0.0444	 0.1290	
4362.4980	-49.5175	0.0407	 0.1335	
4364.4880	-49.4891	0.0432	-0.0213	
4367.4883	-49.4415	0.0343	 0.1931	
4558.8839	-49.4988	0.0311	-0.0101	
4559.7708	-49.5798	0.0325	-0.0229	
4560.7314	-49.5734	0.0295	 0.0303	
4588.7799	-49.4881	0.0289	-0.0638	
4591.7778	-49.4661	0.0340	-0.0631	
4622.6917	-49.3976	0.0351	 0.1071	
4624.6367	-49.4494	0.0367	 0.2581	
4651.6195	-49.4564	0.0319	 0.0459	
4659.5246	-49.4693	0.0405	 0.0972	
4664.6425	-49.5424	0.0353	 0.0401	
4665.6593	-49.4905	0.0377	 0.0770	
4682.5824	-49.5007	0.0309	 0.0707	
4684.6264	-49.5169	0.0357	-0.0418	
4685.5145	-49.4741	0.0307	-0.0393	
4690.6182	-49.5776	0.0350	 0.0541	
4691.6077	-49.5140	0.0406	-0.0380	
4939.8457	-49.4394	0.0349	 0.1127	
4940.7346	-49.5838	0.0309	 0.0777	
4941.8520	-49.5408	0.0290	 0.0163	
4942.6959	-49.4775	0.0227	 0.1030	
4942.8747	-49.4196	0.0291	-0.0355	
4943.6655	-49.5103	0.0253	 0.1504	
4943.8872	-49.5885	0.0268	 0.0732	
4944.6858	-49.5540	0.0250	 0.0951	
4944.8689	-49.5746	0.0249	 0.0694	
4945.6969	-49.5442	0.0252	 0.0727	
4945.8277	-49.5767	0.0263	 0.0579	
4946.7289	-49.4662	0.0251	 0.0351	
4946.9069	-49.4578	0.0256	 0.0326	
4947.6558	-49.5028	0.0261	-0.1128	
4947.8694	-49.5092	0.0251	 0.0614	
4948.6415	-49.5203	0.0251	 0.1043	
4948.8836	-49.6250	0.0254	-0.0153	
4949.8646	-49.4643	0.0279	 0.0307	
4951.6661	-49.5233	0.0250	-0.1208	
4951.8719	-49.5458	0.0271	-0.0061	
#HARPS
4564.8195	-49.4884	0.0108	-0.0239	
4565.8731	-49.4356	0.0092	-0.0103	
4567.8516	-49.5368	0.0105	-0.0015	
#Note.
#a BS: bisector span.
